gram_0,gram_1
watched,grow
weak,man
fetch,wood
lord,tywin
lord,tywin
let,go
girl,named
man,must
girl,tell
man,make
going,tell
westerosi,customs
hard,keep
woman,noble
unless,queen
could,find
sure,noble
told,father
mother,brother
noble,accuse
always,thought
better,amputations
quite,pretty
really,discuss
course,spy
writing,letter
young,wolf
got,time
mother,lady
forgive,know
yes,look
think,see
wish,free
inherited,father
afraid,come
debt,must
tell,way
dark,go
cold,could
light,fire
stay,warmer
bet,freeze
start,first
trying,get
ravens,white
greyjoys,treasonous
brothers,heard
rodrik,cassel
told,never
must,go
still,war
call,king
ask,men
let,go
theon,holds
let,send
raise,hundred
march,way
boy,would
tell,son
theon,want
want,look
earth,would
wildlings,liars
loyalty,anything
done,stay
hate,starks
let,serve
ways,serve
ways,serve
know,things
free,people
hated,man
horse,eats
would,given
wrong,people
life,safer
something,prince
says,make
spice,king
silk,king
offend,best
copper,king
condition,lie
think,whore
came,city
could,find
today,richest
think,path
always,pure
done,many
righteous,man
sync,corrected
download,movie
time,end
free,independent
give,starks
see,brother
grunts,sword
yielded,winterfell
man,hail
groans,crowd
right,little
man,must
something,prince
came,city
today,richest
theme,music
font,color
sync,corrected
let,cripple
somehow,slipped
giant,must
oh,well
let,halfwit
gone,along
right,get
dogs,barking
enjoying,first
far,hunting
hunting,blood
little,boy
never,ran
find,soon
well,hurt
boys,far
robb,sent
ned,stark
winterfell,10
dogs,barking
come,maester
osha,took
risk,going
would,given
theon,found
boy,survive
walking,since
even,hodor
even,sweet
wait,know
sent,two
give,us
theon,tracks
billy,climbs
never,seen
got,good
outrun,hounds
pull,knife
first,time
oh,first
man,night
boy,never
stones,start
bone,never
ygritte,heard
course,maybe
want,feeling
women,night
would,please
mocking,would
think,better
free,woman
might,prisoner
prisoner,free
swore,stupid
never,touch
choice,say
chose,never
price,pay
instead,getting
prefer,invade
wildlings,raid
tried,kill
lot,came
father,ned
blood,first
want,tell
guard,come
come,speak
hanged,20
care,hanged
man,tried
want,name
mountain,think
brotherhood,without
pretentious,name
allow,rebels
harass,us
look,like
want,dead
gone,soft
always,thought
burn,villages
let,know
bring,something
eat,kitchen
bad,manners
suppose,underfed
think,position
war,five
legacy,determined
know,legacy
harren,black
greatest,fortress
tallest,towers
great,hall
yes,dragons
harrenhal,built
